,Training_paths
463,/Adenocarcinoma/label\GTxc2012822-1-400-006.png
464,/Adenocarcinoma/label\GTXC2014153-3-400-008.png
465,/Adenocarcinoma/label\GT2014667-2-400-003.png
466,/Adenocarcinoma/label\GT2016770-1-400-001.png
467,/Adenocarcinoma/label\GT2012324-1-400-008.png
468,/Adenocarcinoma/label\GTXC2012151-2-400-007.png
469,/Adenocarcinoma/label\GT2100011-1-400-001.png
470,/Adenocarcinoma/label\GTxc2013512-2-400-003.png
471,/Adenocarcinoma/label\GT2016882-1-400-003.png
472,/Adenocarcinoma/label\GTXC2110135-2-400-002.png
473,/Adenocarcinoma/label\GTXC2110135-1-400-001.png
474,/Adenocarcinoma/label\GTxc2110176-3-400-004.png
475,/Adenocarcinoma/label\GT2016893-1-400-006.png
476,/Adenocarcinoma/label\GT2014789-2-400-006.png
477,/Adenocarcinoma/label\GT2014662-3-400-004.png
478,/Adenocarcinoma/label\GTxc2012946-2-400-015.png
479,/Adenocarcinoma/label\GTXC2015354-1-400-003.png
480,/Adenocarcinoma/label\GTxc2013512-2-400-004.png
481,/Adenocarcinoma/label\GTxc2012436-2-400-001.png
482,/Adenocarcinoma/label\GT2012358-2-400-011.png
483,/Adenocarcinoma/label\GTxc2012962-1-400-010.png
484,/Adenocarcinoma/label\GTXC2015349-2-400-001.png
485,/Adenocarcinoma/label\GT2001837-1-400-002.png
486,/Adenocarcinoma/label\GTxc2013980-1-400-007.png
487,/Adenocarcinoma/label\GTxc2012962-1-400-006.png
488,/Adenocarcinoma/label\GT2012336-1-400-004.png
489,/Adenocarcinoma/label\GT2014822-1-400-001.png
490,/Adenocarcinoma/label\GT2012165-1-400-004.png
491,/Adenocarcinoma/label\GTxc2012888-1-400-014.png
492,/Adenocarcinoma/label\GTXC2015413-3-400-003.png
493,/Adenocarcinoma/label\GTXC2102280-1-400-009.png
494,/Adenocarcinoma/label\GTXC2014065-1-400-004.png
495,/Adenocarcinoma/label\GT2012353-1-400-007.png
496,/Adenocarcinoma/label\GTXC2012151-2-400-009.png
497,/Adenocarcinoma/label\GTxc2012962-1-400-009.png
498,/Adenocarcinoma/label\GTXC2013386-1-400-005.png
499,/Adenocarcinoma/label\GT2016846-4-400-002.png
500,/Adenocarcinoma/label\GT2001849-1-400-004.png
501,/Adenocarcinoma/label\GT2100120-3-400-007.png
502,/Adenocarcinoma/label\GTxc2012996-3-400-005.png
503,/Adenocarcinoma/label\GTXC2015344-2-400-007.png
504,/Adenocarcinoma/label\GT2016906-1-400-001.png
505,/Adenocarcinoma/label\GT2014665-2-400-002.png
506,/Adenocarcinoma/label\GTxc2014144-5-400-008.png
507,/Adenocarcinoma/label\GTxc2013496-1-400-010.png
508,/Adenocarcinoma/label\GTxc2012481-3-400-003.png
509,/Adenocarcinoma/label\GTxc2014144-4-400-006.png
510,/Adenocarcinoma/label\GTxc2012888-1-400-010.png
511,/Adenocarcinoma/label\GT2016848-1-400-002.png
512,/Adenocarcinoma/label\GTxc2012962-1-400-011.png
513,/Adenocarcinoma/label\GTxc2012962-1-400-007.png
514,/Adenocarcinoma/label\GTxc2013512-1-400-013.png
515,/Adenocarcinoma/label\GT2014667-2-400-005.png
516,/Adenocarcinoma/label\GTxc2013512-2-400-001.png
517,/Adenocarcinoma/label\GTdc2102643-1-400-001.png
518,/Adenocarcinoma/label\GTxc2013512-1-400-008.png
519,/Adenocarcinoma/label\GTxc2012888-1-400-016.png
520,/Adenocarcinoma/label\GT2012324-1-400-014.png
521,/Adenocarcinoma/label\GTXC2110185-1-400-007.png
522,/Adenocarcinoma/label\GTxc2012962-1-400-005.png
523,/Adenocarcinoma/label\GTxc2014065-2-400-002.png
524,/Adenocarcinoma/label\GT2016882-1-400-004.png
525,/Adenocarcinoma/label\GT2001849-1-400-012.png
526,/Adenocarcinoma/label\GT2100120-3-400-005.png
527,/Adenocarcinoma/label\GTXC2110135-1-400-005.png
528,/Adenocarcinoma/label\GT2014662-3-400-003.png
529,/Adenocarcinoma/label\GT2016906-1-400-004.png
530,/Adenocarcinoma/label\GT2014692-1-400-002.png
531,/Adenocarcinoma/label\GTXC2015344-2-400-005.png
532,/Adenocarcinoma/label\GTXC2015371-1-400-001.png
533,/Adenocarcinoma/label\GTxc2012822-1-400-005.png
534,/Adenocarcinoma/label\GTXC2013386-1-400-003.png
535,/Adenocarcinoma/label\GTxc2014144-3-400-004.png
536,/Adenocarcinoma/label\GT2100111-1-400-004.png
537,/Adenocarcinoma/label\GTxc2013496-3-400-002.png
538,/Adenocarcinoma/label\GT2013084-1-400-002.png
539,/Adenocarcinoma/label\GTxc2013496-3-400-004.png
540,/Adenocarcinoma/label\GT2012358-2-400-005.png
541,/Adenocarcinoma/label\GTXC2014153-3-400-001.png
542,/Adenocarcinoma/label\GT2012353-1-400-003.png
543,/Adenocarcinoma/label\GTXC2110135-1-400-004.png
544,/Adenocarcinoma/label\GTDC2100277-1-400-003.png
545,/Adenocarcinoma/label\GT2015138-1-400-002.png
546,/Adenocarcinoma/label\GTXC2110135-2-400-007.png
547,/Adenocarcinoma/label\GT2012508-3-400-008.png
548,/Adenocarcinoma/label\GTxc2013392-2-400-001.png
549,/Adenocarcinoma/label\GT2001849-1-400-011.png
550,/Adenocarcinoma/label\GTxc2013512-2-400-002.png
551,/Adenocarcinoma/label\GT2012329-1-400-012.png
552,/Adenocarcinoma/label\GT2012358-2-400-012.png
553,/Adenocarcinoma/label\GT2016893-1-400-007.png
554,/Adenocarcinoma/label\GTXC2015422-1-400-005.png
555,/Adenocarcinoma/label\GT2012358-2-400-008.png
556,/High-grade IN/label\aug1_GT2012156-2-400-003.png
557,/High-grade IN/label\GT2012196-2-400-005.png
558,/High-grade IN/label\aug1_GTxc2013501-3-400-003.png
559,/High-grade IN/label\GT2100120-1-400-001.png
560,/High-grade IN/label\GTxc2012996-4-400-003.png
561,/High-grade IN/label\GT2012196-2-400-004.png
562,/High-grade IN/label\aug1_GT2012156-2-400-005.png
563,/High-grade IN/label\GTXC2015362-1-400-003.png
564,/High-grade IN/label\aug1_GTXC2014151-1-400-003.png
565,/High-grade IN/label\GTXC2015413-3-400-001.png
566,/High-grade IN/label\aug1_GTxc2012996-4-400-002.png
567,/High-grade IN/label\GT2012436-1-400-006.png
568,/High-grade IN/label\GT2012508-1-400-005.png
569,/High-grade IN/label\GTxc2012785-1-400-001.png
570,/High-grade IN/label\GTxc2014144-2-400-001.png
571,/High-grade IN/label\GTxc2013501-3-400-001.png
572,/High-grade IN/label\aug1_GTXC2015403-1-400-003.png
573,/High-grade IN/label\GTXC2110187-1-400-004.png
574,/High-grade IN/label\aug1_GTxc2012508-1-400-001.png
575,/High-grade IN/label\GTxc2013501-3-400-008.png
576,/High-grade IN/label\GT2016887-1-400-001.png
577,/High-grade IN/label\GTXC2015371-1-400-003.png
578,/High-grade IN/label\GTXC2110585-1-400-005.png
579,/High-grade IN/label\GT2012149-3-400-007.png
580,/High-grade IN/label\aug1_GTDC2102641-1-400-001.png
581,/High-grade IN/label\aug1_GT2017995-1-400-003.png
582,/High-grade IN/label\GT2012156-2-400-003.png
583,/High-grade IN/label\aug1_GT2014757-2-400-005.png
584,/High-grade IN/label\GTXC2015362-1-400-002.png
585,/High-grade IN/label\GT2100120-2-400-002.png
586,/High-grade IN/label\GTxc2014131-2-400-003.png
587,/High-grade IN/label\aug1_GT2100120-1-400-001.png
588,/High-grade IN/label\aug1_GT2012508-1-400-006.png
589,/High-grade IN/label\aug1_GTXC2015371-1-400-002.png
590,/High-grade IN/label\aug1_GTxc2013501-3-400-001.png
591,/High-grade IN/label\aug1_GTXC2110135-3-400-001.png
592,/High-grade IN/label\GTXC2110585-1-400-004.png
593,/High-grade IN/label\aug1_GT2012196-2-400-003.png
594,/High-grade IN/label\GTXC2012151-1-400-003.png
595,/High-grade IN/label\GT2017995-1-400-005.png
596,/High-grade IN/label\aug1_GTxc2012788-1-400-001.png
597,/High-grade IN/label\GTXC2012436-1-400-004.png
598,/High-grade IN/label\GTXC2110540-1-400-002.png
599,/High-grade IN/label\aug1_GTXC2012436-1-400-003.png
600,/High-grade IN/label\GTXC2014151-1-400-001.png
601,/High-grade IN/label\aug1_GTXC2110128-3-400-003.png
602,/High-grade IN/label\GT2017995-1-400-004.png
603,/High-grade IN/label\GT2012275-4-400-003.png
604,/High-grade IN/label\GT2012508-1-400-006.png
605,/High-grade IN/label\GTXC2110585-1-400-001.png
606,/High-grade IN/label\GTXC2110128-2-400-001.png
607,/High-grade IN/label\GT2017995-1-400-003.png
608,/High-grade IN/label\GTxc2012996-4-400-001.png
609,/High-grade IN/label\aug1_GTxc2013501-3-400-002.png
610,/High-grade IN/label\aug1_GTXC2015362-9-400-004.png
611,/High-grade IN/label\GTxc2013501-3-400-006.png
612,/High-grade IN/label\GTXC2110128-2-400-004.png
613,/High-grade IN/label\GTXC2110585-1-400-003.png
614,/High-grade IN/label\aug1_GT2012275-4-400-004.png
615,/High-grade IN/label\GTDC2102641-1-400-001.png
616,/High-grade IN/label\aug1_GTXC2110128-2-400-005.png
617,/High-grade IN/label\GTxc2014131-2-400-002.png
618,/High-grade IN/label\aug1_GTxc2014144-2-400-002.png
619,/High-grade IN/label\GTxc2013987-3-400-002.png
620,/High-grade IN/label\aug1_GTXC2012436-1-400-002.png
621,/High-grade IN/label\aug1_GTxc2014131-2-400-001.png
622,/High-grade IN/label\aug1_GT2100093-4-400-001.png
623,/High-grade IN/label\aug1_GTXC2015362-1-400-003.png
624,/High-grade IN/label\aug1_GT2018006-1-400-004.png
625,/High-grade IN/label\GTXC2110128-3-400-002.png
626,/High-grade IN/label\GT2012508-1-400-007.png
627,/High-grade IN/label\GT2012156-2-400-004.png
628,/High-grade IN/label\aug1_GT2016887-1-400-001.png
629,/High-grade IN/label\GTxc2014144-2-400-003.png
630,/High-grade IN/label\aug1_GTXC2015413-3-400-001.png
631,/High-grade IN/label\GTXC2015371-1-400-004.png
632,/High-grade IN/label\GTxc2013987-3-400-004.png
633,/High-grade IN/label\aug1_GT2016846-3-400-003.png
634,/High-grade IN/label\aug1_GT2014699-1-400-001.png
635,/High-grade IN/label\GTXC2015403-1-400-004.png
636,/High-grade IN/label\aug1_GTxc2012779-4-400-003.png
637,/High-grade IN/label\aug1_GTxc2013501-3-400-005.png
638,/High-grade IN/label\aug1_GT2100120-2-400-001.png
639,/High-grade IN/label\aug1_GTXC2110585-1-400-007.png
640,/High-grade IN/label\GTxc2012829-2-400-003.png
641,/High-grade IN/label\aug1_GT2012508-1-400-007.png
642,/High-grade IN/label\GTXC2110187-1-400-001.png
643,/High-grade IN/label\GTxc2012779-4-400-001.png
644,/High-grade IN/label\aug1_GT2012156-2-400-006.png
645,/High-grade IN/label\aug1_GT2012156-2-400-004.png
646,/High-grade IN/label\aug1_GTxc2013987-3-400-003.png
647,/High-grade IN/label\GT2012149-3-400-003.png
648,/High-grade IN/label\aug1_GTXC2015362-9-400-001.png
649,/High-grade IN/label\GTXC2015403-1-400-002.png
650,/High-grade IN/label\aug1_GT2012275-4-400-003.png
651,/High-grade IN/label\aug1_GT2012275-4-400-005.png
652,/High-grade IN/label\GT2012436-1-400-001.png
653,/High-grade IN/label\GTXC2015413-3-400-003.png
654,/High-grade IN/label\aug1_GTXC2014151-1-400-002.png
655,/High-grade IN/label\aug1_GTDC2013013-3-400-001.png
656,/High-grade IN/label\aug1_GTXC2110585-1-400-004.png
657,/High-grade IN/label\GTXC2110128-2-400-006.png
658,/High-grade IN/label\GT2018006-1-400-003.png
659,/High-grade IN/label\aug1_GTXC2015371-1-400-005.png
660,/High-grade IN/label\GT2012436-1-400-004.png
661,/High-grade IN/label\GTDC2100256-3-400-001.png
662,/High-grade IN/label\aug1_GTXC2110585-1-400-002.png
663,/High-grade IN/label\GTXC2015362-9-400-003.png
664,/High-grade IN/label\aug1_GT2016846-3-400-001.png
665,/High-grade IN/label\aug1_GTXC2110187-1-400-001.png
666,/High-grade IN/label\GTXC2110135-3-400-002.png
667,/High-grade IN/label\GTxc2014144-2-400-002.png
668,/High-grade IN/label\aug1_GTXC2015403-1-400-004.png
669,/High-grade IN/label\GT2014662-1-400-003.png
670,/High-grade IN/label\aug1_GTxc2012779-4-400-002.png
671,/High-grade IN/label\GT2017995-1-400-001.png
672,/High-grade IN/label\aug1_GTDC2102641-1-400-004.png
673,/High-grade IN/label\GTDC2100256-3-400-003.png
674,/High-grade IN/label\aug1_GT2012149-3-400-001.png
675,/High-grade IN/label\GT2017995-3-400-001.png
676,/High-grade IN/label\GTxc2012785-1-400-002.png
677,/High-grade IN/label\GT2012156-2-400-005.png
678,/High-grade IN/label\GT2012508-1-400-004.png
679,/High-grade IN/label\GT2012436-1-400-003.png
680,/High-grade IN/label\GTxc2013501-3-400-003.png
681,/High-grade IN/label\GTXC2110540-1-400-001.png
682,/High-grade IN/label\aug1_GTXC2015371-1-400-004.png
683,/High-grade IN/label\aug1_GT2016887-1-400-003.png
684,/High-grade IN/label\GTXC2110585-1-400-007.png
685,/High-grade IN/label\aug1_GT2014662-1-400-001.png
686,/High-grade IN/label\aug1_GT2012508-1-400-004.png
687,/High-grade IN/label\GTXC2110128-3-400-004.png
688,/High-grade IN/label\aug1_GT2016887-2-400-001.png
689,/High-grade IN/label\GT2014757-2-400-004.png
690,/High-grade IN/label\aug1_GT2016780-1-400-002.png
691,/High-grade IN/label\aug1_GTXC2012151-1-400-002.png
692,/High-grade IN/label\GTXC2012436-1-400-003.png
693,/High-grade IN/label\aug1_GTXC2012436-1-400-004.png
694,/High-grade IN/label\GTxc2013987-3-400-003.png
695,/High-grade IN/label\aug1_GT2012196-2-400-004.png
696,/High-grade IN/label\GTXC2110128-2-400-002.png
697,/High-grade IN/label\GT2013111-2-400-003.png
698,/High-grade IN/label\GTDC2102641-1-400-004.png
699,/High-grade IN/label\aug1_GTXC2014151-1-400-005.png
700,/High-grade IN/label\aug1_GT2012196-2-400-006.png
701,/High-grade IN/label\aug1_GT2017995-1-400-004.png
702,/High-grade IN/label\aug1_GTXC2015413-3-400-004.png
703,/High-grade IN/label\GT2012149-3-400-005.png
704,/High-grade IN/label\aug1_GT2017995-3-400-001.png
705,/High-grade IN/label\aug1_GTXC2110585-1-400-003.png
706,/High-grade IN/label\GTXC2014151-1-400-004.png
707,/High-grade IN/label\aug1_GT2013111-2-400-002.png
708,/High-grade IN/label\aug1_GTXC2110128-3-400-004.png
709,/High-grade IN/label\aug1_GT2012436-1-400-002.png
710,/High-grade IN/label\GTxc2013501-3-400-004.png
711,/High-grade IN/label\GTXC2014151-1-400-002.png
712,/High-grade IN/label\aug1_GT2012436-1-400-004.png
713,/High-grade IN/label\GT2016887-1-400-003.png
714,/High-grade IN/label\GT2014699-1-400-002.png
715,/High-grade IN/label\GT2012508-1-400-001.png
716,/High-grade IN/label\aug1_GT2100120-2-400-002.png
717,/High-grade IN/label\aug1_GT2012156-2-400-007.png
718,/High-grade IN/label\aug1_GTxc2013501-3-400-008.png
719,/High-grade IN/label\GT2012436-1-400-002.png
720,/High-grade IN/label\aug1_GTXC2015362-1-400-002.png
721,/High-grade IN/label\aug1_GT2014662-1-400-003.png
722,/High-grade IN/label\aug1_GT2018006-1-400-003.png
723,/High-grade IN/label\GTxc2012829-2-400-001.png
724,/High-grade IN/label\aug1_GTXC2110187-1-400-003.png
725,/High-grade IN/label\GTXC2110187-1-400-003.png
726,/High-grade IN/label\GT2016887-2-400-001.png
727,/High-grade IN/label\GTXC2110135-3-400-004.png
728,/High-grade IN/label\GTXC2110128-3-400-001.png
729,/High-grade IN/label\GT2012156-2-400-001.png
730,/High-grade IN/label\GT2017351-1-400-001.png
731,/High-grade IN/label\GT2012156-2-400-007.png
732,/High-grade IN/label\GTxc2012779-4-400-003.png
733,/High-grade IN/label\GT2013111-2-400-002.png
734,/High-grade IN/label\aug1_GTxc2012779-4-400-001.png
735,/High-grade IN/label\aug1_GTXC2015403-1-400-001.png
736,/High-grade IN/label\aug1_GT2012436-1-400-005.png
737,/High-grade IN/label\aug1_GTXC2012436-1-400-001.png
738,/High-grade IN/label\aug1_GTXC2110135-3-400-003.png
739,/High-grade IN/label\aug1_GT2014757-2-400-003.png
740,/High-grade IN/label\aug1_GT2012275-4-400-001.png
741,/High-grade IN/label\aug1_GT2012436-1-400-001.png
742,/High-grade IN/label\aug1_GTXC2015371-1-400-001.png
743,/High-grade IN/label\aug1_GTxc2012508-1-400-002.png
744,/High-grade IN/label\aug1_GT2017995-1-400-001.png
745,/High-grade IN/label\aug1_GTxc2013987-3-400-001.png
746,/High-grade IN/label\aug1_GTxc2012508-1-400-003.png
747,/High-grade IN/label\aug1_GTDC2100256-3-400-001.png
748,/High-grade IN/label\aug1_GT2012196-2-400-001.png
749,/High-grade IN/label\GTxc2012788-1-400-002.png
750,/High-grade IN/label\GT2014662-1-400-002.png
751,/High-grade IN/label\aug1_GT2012436-1-400-006.png
752,/High-grade IN/label\aug1_GT2012149-3-400-005.png
753,/High-grade IN/label\aug1_GTXC2110128-2-400-002.png
754,/High-grade IN/label\aug1_GT2018006-1-400-002.png
755,/High-grade IN/label\GTXC2015362-9-400-001.png
756,/High-grade IN/label\GT2016780-1-400-001.png
757,/High-grade IN/label\GT2012149-3-400-002.png
758,/High-grade IN/label\GT2014757-2-400-002.png
759,/High-grade IN/label\GT2100120-2-400-001.png
760,/High-grade IN/label\aug1_GT2012196-2-400-005.png
761,/High-grade IN/label\GT2012508-1-400-003.png
762,/High-grade IN/label\aug1_GT2100093-4-400-002.png
763,/High-grade IN/label\GTXC2012151-1-400-002.png
764,/High-grade IN/label\GT2014757-2-400-005.png
765,/High-grade IN/label\aug1_GT2100093-4-400-003.png
766,/High-grade IN/label\aug1_GT2016780-1-400-003.png
767,/High-grade IN/label\GT2012156-2-400-006.png
768,/High-grade IN/label\aug1_GTXC2110128-3-400-002.png
769,/High-grade IN/label\GTDC2102641-1-400-003.png
770,/High-grade IN/label\aug1_GTDC2102641-1-400-002.png
771,/High-grade IN/label\GTxc2012996-4-400-002.png
772,/High-grade IN/label\aug1_GTXC2110540-1-400-001.png
773,/High-grade IN/label\aug1_GTxc2013987-3-400-004.png
774,/High-grade IN/label\GTXC2110135-3-400-003.png
775,/High-grade IN/label\aug1_GTXC2015413-3-400-003.png
776,/High-grade IN/label\aug1_GTxc2013501-3-400-004.png
777,/High-grade IN/label\aug1_GTXC2110135-3-400-002.png
778,/High-grade IN/label\aug1_GT2016846-3-400-002.png
779,/High-grade IN/label\GT2016780-1-400-002.png
780,/High-grade IN/label\GT2014757-2-400-003.png
781,/High-grade IN/label\GTxc2013501-3-400-007.png
782,/High-grade IN/label\aug1_GT2012149-3-400-004.png
783,/High-grade IN/label\aug1_GTxc2014144-2-400-001.png
784,/High-grade IN/label\aug1_GT2012149-3-400-002.png
785,/High-grade IN/label\GTxc2013501-3-400-002.png
786,/High-grade IN/label\GT2016846-3-400-003.png
787,/High-grade IN/label\GT2014757-2-400-001.png
788,/High-grade IN/label\aug1_GTxc2012785-1-400-001.png
789,/High-grade IN/label\aug1_GT2014757-2-400-002.png
790,/High-grade IN/label\aug1_GT2017995-1-400-002.png
791,/High-grade IN/label\GT2012275-4-400-001.png
792,/High-grade IN/label\aug1_GTXC2110128-2-400-006.png
793,/High-grade IN/label\GTxc2012788-1-400-001.png
794,/High-grade IN/label\aug1_GTXC2012151-1-400-001.png
795,/High-grade IN/label\aug1_GT2012149-3-400-006.png
796,/High-grade IN/label\aug1_GTXC2015362-9-400-003.png
797,/High-grade IN/label\aug1_GTxc2012779-4-400-004.png
798,/High-grade IN/label\aug1_GT2017995-3-400-002.png
799,/High-grade IN/label\aug1_GTXC2110128-2-400-001.png
800,/High-grade IN/label\GTXC2110585-1-400-006.png
801,/High-grade IN/label\GTXC2110128-3-400-003.png
802,/High-grade IN/label\GTxc2012508-1-400-001.png
803,/High-grade IN/label\GTXC2014151-1-400-003.png
804,/High-grade IN/label\GTDC2102641-1-400-002.png
805,/High-grade IN/label\aug1_GTXC2110585-1-400-001.png
806,/High-grade IN/label\aug1_GT2012436-1-400-003.png
807,/High-grade IN/label\GTXC2015413-3-400-004.png
808,/High-grade IN/label\aug1_GTxc2014144-2-400-003.png
809,/High-grade IN/label\GT2012196-2-400-006.png
810,/High-grade IN/label\aug1_GT2012149-3-400-003.png
811,/High-grade IN/label\GT2017995-3-400-002.png
812,/High-grade IN/label\GTXC2015362-9-400-002.png
813,/High-grade IN/label\aug1_GTDC2100256-3-400-002.png
814,/High-grade IN/label\aug1_GTxc2012829-2-400-001.png
815,/High-grade IN/label\GTXC2015362-1-400-001.png
816,/Low-grade IN/label\GT2012400-1-400-006.png
817,/Low-grade IN/label\GT2013923-1-400-001.png
818,/Low-grade IN/label\GTXC2100476-1-400-002.png
819,/Low-grade IN/label\GT2012275-1-400-005.png
820,/Low-grade IN/label\GTXC2015383-1-400-002.png
821,/Low-grade IN/label\GTxc2014129-1-400-004.png
822,/Low-grade IN/label\GTXC2013520-1-400-004.png
823,/Low-grade IN/label\GT2001822-1-400-002.png
824,/Low-grade IN/label\GTXC2014144-2-400-003.png
825,/Low-grade IN/label\GTXC2014146-2-400-001.png
826,/Low-grade IN/label\GT2013124-2-400-001.png
827,/Low-grade IN/label\GTxc2013458-2-400-003.png
828,/Low-grade IN/label\GT2014789-1-400-004.png
829,/Low-grade IN/label\GTxc2012921-1-400-002.png
830,/Low-grade IN/label\GTxc2012972-1-400-001.png
831,/Low-grade IN/label\GT2012156-1-400-003.png
832,/Low-grade IN/label\GT1815555-6-400-001.png
833,/Low-grade IN/label\GTxc2014165-1-400-004.png
834,/Low-grade IN/label\GTXC2014146-2-400-004.png
835,/Low-grade IN/label\GTxc2013434-1-400-001.png
836,/Low-grade IN/label\GTxc2012529-1-400-003.png
837,/Low-grade IN/label\GTxc2014106-1-400-004.png
838,/Low-grade IN/label\GTxc2012829-1-400-004.png
839,/Low-grade IN/label\GT2012149-2-400-004.png
840,/Low-grade IN/label\GTxc2013393-1-400-003.png
841,/Low-grade IN/label\GT2014789-1-400-003.png
842,/Low-grade IN/label\GTxc2012915-1-400-003.png
843,/Low-grade IN/label\GT2013128-2-400-001.png
844,/Low-grade IN/label\GTXC2012114-2-400-002.png
845,/Low-grade IN/label\GTXC2014194-2-400-004.png
846,/Low-grade IN/label\GTXC2015335-6-400-003.png
847,/Low-grade IN/label\GT2012114-1-400-002.png
848,/Low-grade IN/label\GTXC2015335-6-400-006.png
849,/Low-grade IN/label\GTxc2012481-1-400-003.png
850,/Low-grade IN/label\GT2016860-2-400-001.png
851,/Low-grade IN/label\GTXC2015417-1-400-001.png
852,/Low-grade IN/label\GTXC2015383-4-400-003.png
853,/Low-grade IN/label\GTxc2014080-1-400-006.png
854,/Low-grade IN/label\GTxc2014080-1-400-005.png
855,/Low-grade IN/label\GTXC2015362-5-400-003.png
856,/Low-grade IN/label\GTXC2015343-1-400-003.png
857,/Low-grade IN/label\GTxc2014093-1-400-005.png
858,/Low-grade IN/label\GTxc2012967-1-400-003.png
859,/Low-grade IN/label\GTDC2101366-1-400-003.png
860,/Low-grade IN/label\GT2012212-1-400-002.png
861,/Low-grade IN/label\GTXC2015383-1-400-005.png
862,/Low-grade IN/label\GT2012197-2-400-001.png
863,/Low-grade IN/label\GT2014080-1-400-001.png
864,/Low-grade IN/label\GTXC2015383-1-400-003.png
865,/Low-grade IN/label\GTxc2013393-1-400-002.png
866,/Low-grade IN/label\GT2014780-1-400-001.png
867,/Low-grade IN/label\GTXC2015383-4-400-001.png
868,/Low-grade IN/label\GTXC2014129-1-400-006.png
869,/Low-grade IN/label\GTxc2110176-2-400-003.png
870,/Low-grade IN/label\GTxc2013439-1-400-002.png
871,/Low-grade IN/label\GTxc2014102-1-400-004.png
872,/Low-grade IN/label\GTXC2014173-1-400-004.png
873,/Low-grade IN/label\GTxc2012779-1-400-004.png
874,/Low-grade IN/label\GTxc2012915-1-400-005.png
875,/Low-grade IN/label\GT2001803-1-400-003.png
876,/Low-grade IN/label\GTxc2012952-1-400-003.png
877,/Low-grade IN/label\GTxc2012957-1-400-001.png
878,/Low-grade IN/label\GTXC2015383-2-400-003.png
879,/Low-grade IN/label\GTXC2014173-1-400-003.png
880,/Low-grade IN/label\GTXC2015362-6-400-004.png
881,/Low-grade IN/label\GTXC2015362-1-400-001.png
882,/Low-grade IN/label\GTxc2013439-1-400-003.png
883,/Low-grade IN/label\GTXC2015362-6-400-003.png
884,/Low-grade IN/label\GT2016981-1-400-001.png
885,/Low-grade IN/label\GT2016757-1-400-002.png
886,/Low-grade IN/label\GTxc2012986-9-400-003.png
887,/Low-grade IN/label\GTxc2013495-1-400-004.png
888,/Low-grade IN/label\GTXC2013520-1-400-001.png
889,/Low-grade IN/label\GTXC2110195-1-400-005.png
890,/Low-grade IN/label\GTXC2100149-1-400-003.png
891,/Low-grade IN/label\GTxc2014165-1-400-002.png
892,/Low-grade IN/label\GTxc2014094-1-400-001.png
893,/Low-grade IN/label\GT2016860-1-400-001.png
894,/Low-grade IN/label\GT2016846-2-400-003.png
895,/Low-grade IN/label\GTxc2013005-1-400-003.png
896,/Low-grade IN/label\GT2012114-1-400-003.png
897,/Low-grade IN/label\GTXC2012096-2-400-003.png
898,/Low-grade IN/label\GTxc2013400-1-400-002.png
899,/Low-grade IN/label\GT2001814-2-400-003.png
900,/Low-grade IN/label\GT2012154-1-400-002.png
901,/Low-grade IN/label\GTxc2012904-1-400-003.png
902,/Low-grade IN/label\GTxc2014093-1-400-003.png
903,/Low-grade IN/label\GTxc2012803-1-400-006.png
904,/Low-grade IN/label\GTXC2110195-1-400-003.png
905,/Low-grade IN/label\GTXC2014192-2-400-005.png
906,/Low-grade IN/label\GTxc2012468-2-400-001.png
907,/Low-grade IN/label\GTXC2015335-6-400-007.png
908,/Low-grade IN/label\GT2017351-1-400-001.png
909,/Low-grade IN/label\GT2016783-1-400-001.png
910,/Low-grade IN/label\GTxc2012803-1-400-001.png
911,/Low-grade IN/label\GT2014780-3-400-002.png
912,/Low-grade IN/label\GTxc2013495-1-400-005.png
913,/Low-grade IN/label\GTXC2012096-2-400-004.png
914,/Low-grade IN/label\GT2012232-3-400-002.png
915,/Low-grade IN/label\GTxc2014093-1-400-006.png
916,/Low-grade IN/label\GTXC2014146-2-400-005.png
917,/Low-grade IN/label\GTXC2015362-3-400-001.png
918,/Low-grade IN/label\GT2012114-1-400-001.png
919,/Low-grade IN/label\GTxc2012803-1-400-004.png
920,/Low-grade IN/label\GTXC2014194-1-400-006.png
921,/Low-grade IN/label\GTXC2110125-1-400-003.png
922,/Low-grade IN/label\GTxc2014129-1-400-001.png
923,/Low-grade IN/label\GTXC2013528-2-400-001.png
924,/Low-grade IN/label\GTxc2012481-1-400-001.png
925,/Low-grade IN/label\GTxc2013942-2-400-003.png
926,/Low-grade IN/label\GTXC2110195-1-400-001.png
927,/Low-grade IN/label\GT2014093-1-400-001.png
928,/Low-grade IN/label\GTXC2012096-3-400-003.png
929,/Low-grade IN/label\GTXC2015383-1-400-004.png
930,/Low-grade IN/label\GTxc2012852-2-400-005.png
931,/Low-grade IN/label\GTxc2012986-4-400-007.png
932,/Low-grade IN/label\GTxc2012982-1-400-001.png
933,/Low-grade IN/label\GTXC2110195-1-400-006.png
934,/Low-grade IN/label\GT2001803-1-400-001.png
935,/Low-grade IN/label\GT2012195-1-400-005.png
936,/Low-grade IN/label\GTXC2100184-1-400-003.png
937,/Low-grade IN/label\GTxc2012930-1-400-003.png
938,/Low-grade IN/label\GTxc2012915-1-400-004.png
939,/Low-grade IN/label\GT2001822-1-400-003.png
940,/Low-grade IN/label\GT2012197-2-400-003.png
941,/Low-grade IN/label\GTxc2014132-1-400-003.png
